Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,PercentLackOfCohesion
File,"Closeable.java",,,,2,,
File,"CloudMembershipProvider.java",,,,11,,
File,"CloudMembershipService.java",,,,19,,
File,"CloudMembershipServiceMBean.java",,,,7,,
File,"Cluster.java",,,,6,,
File,"ClusterDeployer.java",,,,7,,
File,"ClusterListener.java",,,,7,,
File,"ClusterManager.java",,,,11,,
File,"ClusterManagerBase.java",,,,17,,
File,"ClusterMessage.java",,,,5,,
File,"ClusterMessageBase.java",,,,5,,
File,"ClusterRuleSet.java",,,,3,,
File,"ClusterSession.java",,,,2,,
File,"ClusterSessionListener.java",,,,3,,
File,"ClusterSingleSignOn.java",,,,16,,
File,"ClusterSingleSignOnListener.java",,,,1,,
File,"ClusterValve.java",,,,2,,
File,"CollectedInfo.java",,,,3,,
File,"Collector.java",,,,16,,
File,"ColorGameBean.java",,,,13,,
File,"CombinedRealm.java",,,,19,,
File,"Compiler.java",,,,15,,
File,"CompositeELResolver.java",,,,15,,
File,"CompressionConfig.java",,,,13,,
File,"CompressionFilter.java",,,,2,,
File,"CompressionFilterTestServlet.java",,,,1,,
File,"CompressionResponseStream.java",,,,16,,
File,"CompressionServletResponseWrapper.java",,,,13,,
File,"ConcurrentCache.java",,,,3,,
File,"ConcurrentCache.java",,,,3,,
File,"ConcurrentDateFormat.java",,,,4,,
File,"ConcurrentMessageDigest.java",,,,6,,
File,"ConfigFileLoader.java",,,,3,,
File,"ConfigurationSource.java",,,,12,,
File,"ConnectCountTest.java",,,,8,,
File,"Connection.java",,,,57,,
File,"ConnectionException.java",,,,2,,
File,"ConnectionFactory.java",,,,1,,
File,"ConnectionFactoryFactory.java",,,,1,,
File,"ConnectionImpl.java",,,,14,,
File,"ConnectionPool.java",,,,140,,
File,"ConnectionPool.java",,,,71,,
File,"ConnectionPoolMBean.java",,,,19,,
File,"ConnectionSettingsBase.java",,,,19,,
File,"ConnectionSettingsLocal.java",,,,7,,
File,"ConnectionSettingsRemote.java",,,,3,,
File,"ConnectionState.java",,,,3,,
File,"Connector.java",,,,79,,
File,"ConnectorCreateRule.java",,,,4,,
File,"ConnectorMBean.java",,,,2,,
File,"ConnectorSF.java",,,,4,,
File,"ConnectorStoreAppender.java",,,,9,,
File,"Const.java",,,,1,,
File,"Constant.java",,,,4,,
File,"ConstantClass.java",,,,2,,
File,"ConstantDouble.java",,,,2,,
File,"ConstantFloat.java",,,,2,,
File,"ConstantInteger.java",,,,2,,
File,"ConstantLong.java",,,,2,,
File,"ConstantPool.java",,,,3,,
File,"ConstantUtf8.java",,,,3,,
File,"Constants.java",,,,1,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,4,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,1,,
File,"Constants.java",,,,1,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,1,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Constants.java",,,,0,,
File,"Contained.java",,,,2,,
File,"Container.java",,,,37,,
File,"ContainerBase.java",,,,58,,
File,"ContainerEvent.java",,,,5,,
File,"ContainerListener.java",,,,1,,
File,"ContainerMBean.java",,,,8,,
File,"ContainerProvider.java",,,,2,,
File,"ContainerServlet.java",,,,2,,
File,"ContainerThreadMarker.java",,,,3,,
File,"ContainerThreadMarker.java",,,,3,,
File,"ContentRange.java",,,,6,,
File,"Context.java",,,,214,,
File,"ContextAccessController.java",,,,6,,
File,"ContextBind.java",,,,2,,
File,"ContextBindings.java",,,,14,,
File,"ContextConfig.java",,,,76,,
File,"ContextEjb.java",,,,9,,
File,"ContextEnvironment.java",,,,7,,
File,"ContextEnvironmentMBean.java",,,,1,,
File,"ContextHandler.java",,,,15,,
File,"ContextListener.java",,,,6,,
File,"ContextLocalEjb.java",,,,9,,
File,"ContextMBean.java",,,,8,,
File,"ContextName.java",,,,9,,
File,"ContextResource.java",,,,12,,
File,"ContextResourceEnvRef.java",,,,5,,
File,"ContextResourceLink.java",,,,7,,
File,"ContextResourceLinkMBean.java",,,,2,,
File,"ContextResourceMBean.java",,,,2,,
File,"ContextRuleSet.java",,,,4,,
File,"ContextService.java",,,,29,,
File,"ContextTransaction.java",,,,5,,
File,"ContinueResponseTiming.java",,,,5,,
File,"Cookie.java",,,,25,,
File,"Cookie.java",,,,30,,
Public Class,"CookieExample",14,0,30,2,3,0
File,"CookieExample.java",,,,2,,
File,"CookieFilter.java",,,,4,,
File,"CookieProcessor.java",,,,3,,
File,"CookieProcessorBase.java",,,,2,,
File,"CookiesBaseTest.java",,,,4,,
File,"CoordinationDemo.java",,,,27,,
File,"CopyParentClassLoaderRule.java",,,,2,,
File,"CorsFilter.java",,,,26,,
File,"CoyoteAdapter.java",,,,17,,
File,"CoyoteInputStream.java",,,,23,,
File,"CoyoteOutputStream.java",,,,13,,
File,"CoyotePrincipal.java",,,,3,,
File,"CoyoteReader.java",,,,13,,
File,"CoyoteWriter.java",,,,31,,
File,"CrawlerSessionManagerValve.java",,,,17,,
File,"CreateTestTable.java",,,,5,,
File,"CredentialHandler.java",,,,2,,
File,"CredentialHandlerRuleSet.java",,,,4,,
File,"CredentialHandlerSF.java",,,,2,,
File,"CsrfPreventionFilter.java",,,,21,,
File,"CsrfPreventionFilterBase.java",,,,9,,
File,"CustomObjectInputStream.java",,,,4,,
File,"DNSMembershipProvider.java",,,,4,,
File,"DOMWriter.java",,,,4,,
File,"DataSender.java",,,,11,,
File,"DataSource.java",,,,9,,
File,"DataSourceConnectionFactory.java",,,,7,,
File,"DataSourceDefinition.java",,,,18,,
File,"DataSourceDefinitions.java",,,,1,,
File,"DataSourceFactory.java",,,,6,,
File,"DataSourceLinkFactory.java",,,,6,,
File,"DataSourceMXBean.java",,,,43,,
File,"DataSourceProxy.java",,,,151,,
File,"DataSourceRealm.java",,,,26,,
File,"DataSourceStore.java",,,,33,,
File,"DataSourceUserDatabase.java",,,,57,,
File,"DataSourceUserDatabaseFactory.java",,,,1,,
File,"DataSourceUserDatabaseMBean.java",,,,19,,
File,"DataSourceUserDatabaseTests.java",,,,9,,
File,"DataSourceXAConnectionFactory.java",,,,16,,
File,"DateFormatCache.java",,,,6,,
File,"DebugValidator.java",,,,1,,
File,"DeclareRoles.java",,,,1,,
File,"DecodeException.java",,,,6,,
File,"Decoder.java",,,,8,,
File,"DecoderEntry.java",,,,3,,
File,"DefaultClientEndpointConfig.java",,,,7,,
File,"DefaultErrorHandler.java",,,,4,,
File,"DefaultEvictionPolicy.java",,,,1,,
File,"DefaultInstanceManager.java",,,,39,,
File,"DefaultPooledObject.java",,,,30,,
File,"DefaultPooledObjectInfo.java",,,,13,,
File,"DefaultPooledObjectInfoMBean.java",,,,10,,
File,"DefaultProperties.java",,,,1,,
File,"DefaultServerEndpointConfig.java",,,,9,,
File,"DefaultServerEndpointConfigurator.java",,,,5,,
File,"DefaultServlet.java",,,,70,,
File,"DefaultServletEncodingBaseTest.java",,,,6,,
File,"DefaultTestCase.java",,,,6,,
File,"DeferredFileOutputStream.java",,,,8,,
File,"DelegatingCallableStatement.java",,,,123,,
File,"DelegatingConnection.java",,,,79,,
File,"DelegatingDatabaseMetaData.java",,,,182,,
File,"DelegatingPreparedStatement.java",,,,61,,
File,"DelegatingResultSet.java",,,,203,,
File,"DelegatingStatement.java",,,,66,,
File,"DeltaManager.java",,,,82,,
File,"DeltaRequest.java",,,,35,,
File,"DeltaSession.java",,,,67,,
File,"DenyAll.java",,,,0,,
File,"DeployTask.java",,,,11,,
File,"DeployXmlPermission.java",,,,2,,
File,"DeploymentException.java",,,,2,,
File,"DestroyMode.java",,,,2,,
File,"Diagnostics.java",,,,23,,
File,"DigestAuthenticator.java",,,,4,,
File,"DigestAuthenticator.java",,,,31,,
File,"DigestCredentialHandlerBase.java",,,,18,,
File,"Digester.java",,,,105,,
File,"DigesterFactory.java",,,,4,,
File,"DirResourceSet.java",,,,9,,
File,"DirectByteArrayOutputStream.java",,,,5,,
File,"DirectJDKLog.java",,,,21,,
File,"Direction.java",,,,2,,
File,"Directory.java",,,,8,,
File,"DiskFileItem.java",,,,26,,
File,"DiskFileItemFactory.java",,,,9,,
File,"DispatchType.java",,,,4,,
File,"DispatcherType.java",,,,2,,
File,"DisposableConnectionFacade.java",,,,5,,
File,"DistributedManager.java",,,,2,,
File,"DocumentProperties.java",,,,1,,
File,"DomainFilterInterceptor.java",,,,13,,
File,"DomainFilterInterceptorMBean.java",,,,4,,
File,"DrawMessage.java",,,,26,,
File,"DrawboardContextListener.java",,,,1,,
File,"DrawboardEndpoint.java",,,,8,,
File,"Driver.java",,,,9,,
File,"DriverAdapterCPDS.java",,,,49,,
File,"DriverConnectionFactory.java",,,,6,,
File,"DriverFactory.java",,,,1,,
File,"DriverManagerConnectionFactory.java",,,,8,,
File,"DummyCart.java",,,,7,,
File,"DummyProxySession.java",,,,38,,
File,"Dumper.java",,,,29,,
File,"DuplicateMappingParamFilter.java",,,,1,,
File,"DuplicateMappingParamServlet.java",,,,1,,
File,"DynamicAttributes.java",,,,1,,
File,"EJB.java",,,,6,,
File,"EJBs.java",,,,1,,
File,"ELArithmetic.java",,,,50,,
File,"ELClass.java",,,,2,,
File,"ELContext.java",,,,22,,
File,"ELContextEvent.java",,,,2,,
File,"ELContextImpl.java",,,,11,,
File,"ELContextListener.java",,,,1,,
File,"ELContextWrapper.java",,,,10,,
File,"ELException.java",,,,4,,
File,"ELException.java",,,,5,,
File,"ELFunctionMapper.java",,,,17,,
File,"ELInterpreter.java",,,,1,,
File,"ELInterpreterFactory.java",,,,4,,
File,"ELInterpreterTagSetters.java",,,,1,,
File,"ELManager.java",,,,12,,
File,"ELNode.java",,,,36,,
File,"ELParseException.java",,,,2,,
File,"ELParser.java",,,,40,,
File,"ELParser.java",,,,170,,
File,"ELParserConstants.java",,,,0,,
File,"ELParserTokenManager.java",,,,52,,
File,"ELParserTreeConstants.java",,,,0,,
File,"ELProcessor.java",,,,12,,
File,"ELResolver.java",,,,8,,
File,"ELResolverImpl.java",,,,7,,
File,"ELSupport.java",,,,17,,
File,"EchoAnnotation.java",,,,3,,
File,"EchoAsyncAnnotation.java",,,,8,,
File,"EchoAttributesTag.java",,,,2,,
File,"EchoEndpoint.java",,,,5,,
File,"EchoRpcTest.java",,,,10,,
File,"EchoStreamAnnotation.java",,,,3,,
File,"EchoTag.java",,,,3,,
File,"EjbFactory.java",,,,3,,
File,"EjbRef.java",,,,3,,
File,"ElementValue.java",,,,5,,
File,"ElementValuePair.java",,,,3,,
File,"EmbeddedServletOptions.java",,,,52,,
File,"EmbeddedTomcat.java",,,,4,,
File,"EmptyResource.java",,,,25,,
File,"EmptyResourceSet.java",,,,19,,
File,"EncodeException.java",,,,3,,
File,"EncodedSolidusHandling.java",,,,5,,
File,"Encoder.java",,,,6,,
File,"EncodingDetector.java",,,,8,,
File,"EncryptInterceptor.java",,,,38,,
File,"EncryptInterceptorMBean.java",,,,8,,
File,"Encryption.java",,,,2,,
File,"EncryptionLevel.java",,,,2,,
File,"Endpoint.java",,,,3,,
File,"EndpointClassHolder.java",,,,3,,
File,"EndpointConfig.java",,,,3,,
File,"EndpointHolder.java",,,,3,,
File,"Engine.java",,,,6,,
File,"EngineConfig.java",,,,3,,
File,"EngineRuleSet.java",,,,3,,
File,"EntityTag.java",,,,1,,
File,"Entries.java",,,,5,,
File,"Entry.java",,,,5,,
File,"EnumElementValue.java",,,,2,,
File,"EnvironmentPropertySource.java",,,,2,,
File,"EqualsHashCodeTest.java",,,,3,,
File,"Error.java",,,,6,,
File,"ErrorData.java",,,,5,,
File,"ErrorDispatcher.java",,,,18,,
File,"ErrorHandler.java",,,,2,,
File,"ErrorHandler.java",,,,4,,
File,"ErrorPage.java",,,,9,,
File,"ErrorPageSupport.java",,,,6,,
File,"ErrorReportValve.java",,,,11,,
File,"ErrorState.java",,,,7,,
File,"Escape.java",,,,6,,
File,"EvaluationContext.java",,,,23,,
File,"EvaluationListener.java",,,,3,,
File,"EvictionConfig.java",,,,10,,
File,"EvictionPolicy.java",,,,1,,
File,"EvictionTimer.java",,,,10,,
File,"ExampleFilter.java",,,,3,,
File,"ExampleTagBase.java",,,,8,,
File,"ExamplesConfig.java",,,,2,,
File,"ExceptionUtils.java",,,,2,,
File,"ExceptionUtils.java",,,,2,,
File,"ExceptionUtils.java",,,,3,,
File,"ExceptionUtils.java",,,,1,,
File,"Executor.java",,,,2,,
File,"ExecutorFactory.java",,,,11,,
File,"ExpandWar.java",,,,8,,
File,"ExpectationClient.java",,,,3,,
File,"ExpiresFilter.java",,,,108,,
File,"Expression.java",,,,1,,
File,"Expression.java",,,,4,,
File,"ExpressionBuilder.java",,,,13,,
File,"ExpressionEvaluator.java",,,,2,,
File,"ExpressionEvaluatorImpl.java",,,,3,,
File,"ExpressionFactory.java",,,,21,,
File,"ExpressionFactoryImpl.java",,,,5,,
File,"ExpressionImpl.java",,,,2,,
File,"ExpressionParseTree.java",,,,32,,
File,"ExpressionTokenizer.java",,,,6,,
File,"ExtendedAccessLogValve.java",,,,51,,
File,"ExtendedRpcCallback.java",,,,2,,
File,"Extension.java",,,,4,,
File,"Extension.java",,,,19,,
File,"ExtensionValidator.java",,,,6,,
File,"ExtractingRoot.java",,,,4,,
File,"FactoryBase.java",,,,4,,
File,"FactoryCreateRule.java",,,,5,,
File,"FailedContext.java",,,,253,,
File,"FailedRequestFilter.java",,,,4,,
File,"FairBlockingQueue.java",,,,41,,
File,"FairnessTest.java",,,,6,,
File,"FarmWarDeployer.java",,,,40,,
File,"FastHttpDateFormat.java",,,,5,,
File,"FastNonSecureRandom.java",,,,5,,
File,"FastRemovalDequeue.java",,,,21,,
File,"FeatureInfo.java",,,,6,,
File,"File.java",,,,42,,
File,"FileChangeListener.java",,,,2,,
File,"FileHandler.java",,,,18,,
File,"FileInfo.java",,,,0,,
File,"FileItem.java",,,,15,,
File,"FileItemFactory.java",,,,1,,
